id,run,question,expected_answer,actual_answer,human_grade
multihop_04,2,"If a student scores a 70 in the worked example dataset containing marks 40, 50, 60, 70, and 80, what is their exact z-score based on the calculated sample mean and standard deviation?",z = (70 − 60)/15.8 ≈ 0.63.,I couldn't find that in your notes.,
multihop_01,0,How does computing sample variance differ between NumPy and pandas with respect to the degrees-of-freedom setting?,"NumPy needs ddof=1 (np.var(x, ddof=1)) to get the sample variance (ddof=0 gives the population variance); pandas df.var() already uses ddof=1 by default, and df.var(ddof=0) gives the population variance.","NumPy and pandas differ in their default degrees-of-freedom (`ddof`) settings when calculating sample variance.

In NumPy, you must explicitly set `ddof=1` to calculate sample variance (using $n-1$), whereas in pandas, the default `var()` method automatically uses `ddof=1` (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 6). Conversely, to calculate population variance (using $n$), NumPy defaults to `ddof=0`, while pandas requires you to explicitly set `ddof=0` (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 6).",
lookup_09,0,What is the mathematical equation for Expected Test MSE $E(y_0 - \hat{f}(x_0))^2$?,E(y0 − f̂(x0))² = Var(f̂(x0)) + [Bias(f̂(x0))]² + Var(ε).,I couldn't find that in your notes.,
lookup_08,1,"In NumPy, what does setting `ddof=1` instruct the function to divide by when calculating sample variance?",It divides by n − 1 rather than n (Bessel's correction).,"Setting `ddof=1` in NumPy instructs the function to divide by $n-1$ when calculating sample variance (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 3). This parameter, which stands for delta degrees of freedom, is used to correct the bias that occurs when using the sample mean instead of the true population mean (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 6).",
structural_02,0,How is the equation for Expected Test MSE structurally decomposed into three distinct mathematical terms on the bias-variance trade-off slide?,Var(f̂(x0)) + [Bias(f̂(x0))]² + Var(ε).,I couldn't find that in your notes.,
lookup_06,1,"According to the flexibility versus interpretability graph, which statistical method is grouped alongside Subset Selection for having high interpretability and low flexibility?",Lasso.,I couldn't find a complete answer in your notes. Try asking more specifically.,
lookup_01,2,What mathematical formula is given for population variance $\sigma^2$?,"Population variance σ² = (1/N) Σ (xᵢ − μ)², the average squared deviation from the mean.","The population variance $\sigma^2$ is defined as the average squared distance from the mean (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 2). It is calculated by dividing the sum of the squared deviations by $n$ (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 6).",
structural_04,2,"On the slides demonstrating ""Assessing Model Accuracy"", what four specific metrics or curves are structurally represented by the Black, Orange, Red, and Grey curves in the plotted graphs?",Black: true curve simulated from f. Orange: linear regression model. Red: test MSE. Grey: train MSE.,"The Black, Orange, Red, and Grey curves represent the true curve, a linear regression model, the test MSE, and the train MSE, respectively (DS-2 (1).pdf, p. 16).

Specifically, the black curve is the true curve simulated from the function *f*, the orange curve is a linear regression model fitted to the data, the red curve is the test MSE, and the grey curve is the train MSE (DS-2 (1).pdf, p. 16).",
multihop_09,0,"Why is it valid to compute meaningful ratios for weight but not for temperature in Celsius, and what mathematical operations are appropriate for the interval scale?","Weight is a ratio scale with a meaningful zero, so ratios are meaningful (80 kg is twice 40 kg). Celsius is an interval scale with an arbitrary zero, so 40 °C is not twice 20 °C. Interval scales support mean, standard deviation and differences.","It is valid to compute meaningful ratios for weight because it has a meaningful zero indicating the absence of the measured quantity, whereas temperature in Celsius does not have a meaningful zero (DAI-101_Lecture_3_Data_Types_Mean_Median.pdf, p. 11).

Because 0 °C is merely a selected reference point rather than an absence of temperature, ratios change when converted to other scales like Fahrenheit, making them invalid for Celsius (DAI-101_Lecture_3_Data_Types_Mean_Median.pdf, p. 11). For the interval scale, the appropriate mathematical operations are calculating the mean, standard deviation, and differences (DAI-101_Lecture_3_Data_Types_Mean_Median.pdf, p. 11).",
structural_05,1,"How is the comparison between the three missing data mechanisms (MCAR, MAR, MNAR) structurally organized in terms of meaning and examples?","A table with columns Mechanism, Meaning and Example: MCAR (unrelated to any variable; OMR lost), MAR (depends on other observed columns; low-attendance students miss exams), MNAR (depends on the missing value itself; grades not reported due to poor grades).","The comparison between the three missing data mechanisms is organized in a table that categorizes each mechanism by its meaning and provides a specific example for each (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 11).

The structure defines the mechanisms as follows:
*   **MCAR (Missing Completely At Random):** Defined as being unrelated to any variable, with an example of an OMR sheet being accidentally lost (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 11).
*   **MAR (Missing At Random):** Defined as depending on other observed columns, with an example of students with low attendance missing exams (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 11).
*   **MNAR (Missing Not At Random):** Defined as depending on the missing value itself, with an example of grades not being reported due to poor performance (DAI-101_Lecture_4 Variance_z score_preprocessing_missing data.pdf, p. 11).",
